ProductKey,ProductName,SubCategory,Category,ProductLine,Class,ListPrice,DealerPrice,StandardCost,Color,Size,SizeRange,Weight,ModelName,Status,StartDate,EndDate,Description
483,Hitch Rack - 4-Bike,Bike Racks,Accessories,S,,120,72,44.88,NA,,NA,,Hitch Rack - 4-Bike,Current,01/07/2018,,"Carries 4 bikes securely; steel construction, fits 2"" receiver hitch."
486,All-Purpose Bike Stand,Bike Stands,Accessories,M,,159,95.4,59.466,NA,,NA,,All-Purpose Bike Stand,Current,01/07/2018,,Perfect all-purpose bike stand for working on your bike at home. Quick-adjusting clamps and steel construction.
477,Water Bottle - 30 oz.,Bottles and Cages,Accessories,S,,4.99,2.994,1.8663,NA,,NA,,Water Bottle,Current,01/07/2018,,AWC logo water bottle - holds 30 oz; leak-proof.
478,Mountain Bottle Cage,Bottles and Cages,Accessories,M,,9.99,5.994,3.7363,NA,,NA,,Mountain Bottle Cage,Current,01/07/2018,,Tough aluminum cage holds bottle securly on tough terrain.
479,Road Bottle Cage,Bottles and Cages,Accessories,R,,8.99,5.394,3.3623,NA,,NA,,Road Bottle Cage,Current,01/07/2018,,Aluminum cage is lighter than our mountain version; perfect for long distance trips.
484,Bike Wash - Dissolver,Cleaners,Accessories,S,,7.95,4.77,2.9733,NA,,NA,,Bike Wash,Current,01/07/2018,,"Washes off the toughest road grime; dissolves grease, environmentally safe. 1-liter bottle."
485,Fender Set - Mountain,Fenders,Accessories,M,,21.98,13.188,8.2205,NA,,NA,,Fender Set - Mountain,Current,01/07/2018,,Clip-on fenders fit most mountain bikes.
212,"Sport-100 Helmet, Red",Helmets,Accessories,S,,33.6442,20.1865,12.0278,Red,,NA,,Sport-100,,01/07/2016,30/06/2017,"Universal fit, well-vented, lightweight , snap-on visor."
213,"Sport-100 Helmet, Red",Helmets,Accessories,S,,33.6442,20.1865,13.8782,Red,,NA,,Sport-100,,01/07/2017,30/06/2018,"Universal fit, well-vented, lightweight , snap-on visor."
214,"Sport-100 Helmet, Red",Helmets,Accessories,S,,34.99,20.994,13.0863,Red,,NA,,Sport-100,Current,01/07/2018,,"Universal fit, well-vented, lightweight , snap-on visor."
215,"Sport-100 Helmet, Black",Helmets,Accessories,S,,33.6442,20.1865,12.0278,Black,,NA,,Sport-100,,01/07/2016,30/06/2017,"Universal fit, well-vented, lightweight , snap-on visor."
216,"Sport-100 Helmet, Black",Helmets,Accessories,S,,33.6442,20.1865,13.8782,Black,,NA,,Sport-100,,01/07/2017,30/06/2018,"Universal fit, well-vented, lightweight , snap-on visor."
217,"Sport-100 Helmet, Black",Helmets,Accessories,S,,34.99,20.994,13.0863,Black,,NA,,Sport-100,Current,01/07/2018,,"Universal fit, well-vented, lightweight , snap-on visor."
220,"Sport-100 Helmet, Blue",Helmets,Accessories,S,,33.6442,20.1865,12.0278,Blue,,NA,,Sport-100,,01/07/2016,30/06/2017,"Universal fit, well-vented, lightweight , snap-on visor."
221,"Sport-100 Helmet, Blue",Helmets,Accessories,S,,33.6442,20.1865,13.8782,Blue,,NA,,Sport-100,,01/07/2017,30/06/2018,"Universal fit, well-vented, lightweight , snap-on visor."
